countyfips,county,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75 to 79,80 to 84,85 to 89,90 to 94,95 to 99
1,Adams,34924,36694,40642,35730,32646,40331,42788,40991,36511,33337,30524,30476,25359,19816,14716,8873,5673,2469,1234.5,1234.5
3,Alamosa,1013,1075,1197,1745,1533,1074,1192,1217,759,683,819,936,900,849,644,275,260,103,51.5,51.5
5,Arapahoe,38938,41935,44957,41029,38442,49944,51496,48301,47122,43861,40476,39903,39054,30874,24061,12898,8475,4927.5,2463.75,2463.75
7,Archuleta,596,786,653,582,455,582,754,766,820,638,741,931,1505,1295,1157,548,246,106,53,53
9,Baca,171,266,220,150,167,165,189,215,294,135,188,263,227,261,188,158,110,76,38,38
11,Bent,212,311,235,213,353,503,499,473,431,439,335,426,341,292,361,176,88,86.5,43.25,43.25
13,Boulder,14030,17207,18877,26188,32981,24032,21624,21068,20665,21586,20767,21361,20053,17075,13492,7381,4601,2862.5,1431.25,1431.25
14,Broomfield,3651,4588,4910,4691,3971,5638,5530,5128,5580,5430,4805,4680,3947,3242,2980,1443,1098,692.5,346.25,346.25
15,Chaffee,746,985,702,823,888,1023,1338,1294,1093,1129,1225,1361,1898,1851,1319,931,284,273,136.5,136.5
17,Cheyenne,185,120,101,94,43,80,83,91,140,58,105,129,133,132,84,63,20,15,7.5,7.5
19,Clear Creek,289,280,365,598,316,509,549,454,758,701,795,951,906,816,573,329,141,48.5,24.25,24.25
21,Conejos,507,469,654,458,510,402,382,510,402,336,435,510,545,576,323,267,184,54.5,27.25,27.25
23,Costilla,105,75,236,207,291,146,242,138,174,110,217,306,344,409,179,222,64,26,13,13
25,Crowley,164,317,289,635,403,434,613,433,472,443,299,307,367,232,280,65,86,89.5,44.75,44.75
27,Custer,42,145,387,321,147,78,143,149,182,247,170,418,707,619,512,248,88,58.5,29.25,29.25
29,Delta,1406,1583,1941,1901,1365,1476,1448,1641,1893,1656,1751,2457,2563,2762,2144,1409,862,437.5,218.75,218.75
31,Denver,40402,37086,38003,34792,42411,81917,81528,64890,51373,44369,38242,35813,33289,29029,22553,12423,8923,4878,2439,2439
